,Airline Name,Date of journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
89,Air India,"Mon, 22 Nov",Mumbai,Kolkata,21:30,"19:10
+ 1 day",21h 40m,1 Stop,11324
90,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,9:20,17:25,8h 05m,1 Stop,11326
91,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,9:20,20:15,10h 55m,1 Stop,11326
92,Go First,"Mon, 22 Nov",Mumbai,Kolkata,13:30,21:45,8h 15m,1 Stop,11377
93,Go First,"Mon, 22 Nov",Mumbai,Kolkata,23:45,"08:00
+ 1 day",8h 15m,1 Stop,11377
94,Go First,"Mon, 22 Nov",Mumbai,Kolkata,22:40,"08:00
+ 1 day",9h 20m,1 Stop,11377
95,Go First,"Mon, 22 Nov",Mumbai,Kolkata,21:15,"08:00
+ 1 day",10h 45m,1 Stop,11377
96,Go First,"Mon, 22 Nov",Mumbai,Kolkata,20:15,"08:00
+ 1 day",11h 45m,1 Stop,11377
97,Go First,"Mon, 22 Nov",Mumbai,Kolkata,9:55,21:45,11h 50m,1 Stop,11377
98,Go First,"Mon, 22 Nov",Mumbai,Kolkata,8:00,21:45,13h 45m,1 Stop,11377
99,Go First,"Mon, 22 Nov",Mumbai,Kolkata,18:00,"08:00
+ 1 day",14h 00m,1 Stop,11377
100,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,16:55,22:25,5h 30m,1 Stop,11498
101,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,13:45,22:30,8h 45m,1 Stop,11876
102,Air India,"Mon, 22 Nov",Mumbai,Kolkata,19:00,"09:00
+ 1 day",14h 00m,1 Stop,11928
103,Go First,"Mon, 22 Nov",Mumbai,Kolkata,12:15,21:45,9h 30m,1 Stop,11953
104,Air India,"Mon, 22 Nov",Mumbai,Kolkata,8:00,19:10,11h 10m,1 Stop,12229
105,Air India,"Mon, 22 Nov",Mumbai,Kolkata,7:00,19:10,12h 10m,1 Stop,12229
106,Air India,"Mon, 22 Nov",Mumbai,Kolkata,10:00,19:10,9h 10m,1 Stop,12768
107,Air India,"Mon, 22 Nov",Mumbai,Kolkata,21:30,"16:00
+ 1 day",18h 30m,3 Stop(s),12939
108,Air India,"Mon, 22 Nov",Mumbai,Kolkata,21:30,"16:00
+ 1 day",18h 30m,3 Stop(s),12939
109,Air India,"Mon, 22 Nov",Mumbai,Kolkata,19:00,"16:00
+ 1 day",21h 00m,3 Stop(s),12939
110,Air India,"Mon, 22 Nov",Mumbai,Kolkata,19:00,"16:00
+ 1 day",21h 00m,3 Stop(s),12939
111,Air India,"Mon, 22 Nov",Mumbai,Kolkata,18:00,"16:00
+ 1 day",22h 00m,3 Stop(s),12939
112,Air India,"Mon, 22 Nov",Mumbai,Kolkata,18:00,"16:00
+ 1 day",22h 00m,3 Stop(s),12939
113,Air India,"Mon, 22 Nov",Mumbai,Kolkata,15:25,"16:00
+ 1 day",24h 35m,4 Stop(s),12939
114,Air India,"Mon, 22 Nov",Mumbai,Kolkata,15:25,"16:00
+ 1 day",24h 35m,4 Stop(s),12939
115,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,10:00,14:35,4h 35m,1 Stop,12978
116,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,6:20,19:35,13h 15m,2 Stop(s),13222
117,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,6:20,22:45,16h 25m,2 Stop(s),13222
118,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,10:45,"08:20
+ 1 day",21h 35m,2 Stop(s),13222
119,Air India,"Mon, 22 Nov",Mumbai,Kolkata,15:25,"08:05
+ 1 day",16h 40m,3 Stop(s),13401
120,Air India,"Mon, 22 Nov",Mumbai,Kolkata,10:00,"08:05
+ 1 day",22h 05m,2 Stop(s),13401
121,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,11:30,19:35,8h 05m,2 Stop(s),13676
122,Air India,"Mon, 22 Nov",Mumbai,Kolkata,8:00,22:20,14h 20m,1 Stop,13804
123,Air India,"Mon, 22 Nov",Mumbai,Kolkata,7:00,22:20,15h 20m,1 Stop,13804
124,Air India,"Mon, 22 Nov",Mumbai,Kolkata,10:00,22:20,12h 20m,1 Stop,14343
125,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,16:05,"19:35
+ 1 day",27h 30m,2 Stop(s),14868
126,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,9:05,19:35,10h 30m,2 Stop(s),15343
127,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,6:00,19:35,13h 35m,2 Stop(s),15603
128,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,13:20,22:45,9h 25m,2 Stop(s),16316
